andpsorts url	profile description
bubbles-dive---cartagena	"Como futura Reserva Marina te ofrecemos en éste área las mejores inmersiones del Mediterraneo, cómodas instalaciones y todo el apoyo a proyectos de investigación que podamos conseguirte. 
En nuestras instalaciones a pie de los barcos, podrás obtener todo lo necesario para pasar un día inolvidable.
Disponemos de DOS EMBARCACIONES de fibra especialmente diseñado para buceo en el que os podréis vestir tanto en invierno como en verano con la mayor comodidad a salvo del calor y del frio.
El DIVING MEDITERRANEO, es una embarcación especialmente preparada para el buceo, con capacidad para 20 buceadores en el que solo embarcamos a 12 pasajeros para aumentar la comodidad en el mismo.
El SUPER, es una embarcación semirrigida BWA especialmente preparada para buceo y destinada a realizar inmersiones con los más especializados a puntos estratégicos de nuestra zona.
Ambos disponen de: equipo completo de salvamente, VHF, sonda, GPS, botiquín y equipo de oxigenación a bordo."
bubbles-dive---madrid	"Escuela, tienda especializada y buceo en reservas marítimas
Aulas: Como centro PADI 5* IDC, disponemos de todos los sistemas audiovisuales y de apoyo pedagógico.
Piscina: Disponemos de disponibilidad diaria y fines de semana, de piscina semiolímpica donde podréis aletear a vuestras anchas
Tienda: Todas las marcas (Mares, Scubapro, Cressi, Sunto, etc..) en venta y mantenimiento
Material de Alquiler: Disponemos  de material Cressi para alquiler para piscina, fines de semana y viajes"
bubbles-dive---tabarca	"En colaboración con el Hotel Isla de Tabarca hemos establecido el primer Resort de Buceo en el interior de una Reserva Natural Marina.<br class="""">
Te damos alojamiento, los permisos y el buceo en la Reserva.<br class="""">
INMERSIONES EN LA RESERVA  Reserva Marina. Actividades en la Reserva<br class="""">
Los primeros intentos para dotar de una cierta protección a la zona fueron realizados por el Ayuntamiento de Alicante que en 1.972 efectuó gestiones dirigidas a declararla parque nacional submarino aunque no fructificaron. Posteriormente, en el Plan Especial de Ordenación de la isla de Tabarca se adelantó la conveniencia y necesidad de crear una reserva marina. En el año 1.983, el Ayuntamiento de Alicante encargó un estudio ecológico del medio marino de la isla concluyéndose de éste la conveniencia de establecer una reserva marina en ella, a fin de preservar la fauna y flora marina de la zona y servir de base de repoblación en beneficio de la riqueza ecológica de las aguas colindantes. Como resultado de todo ello en 1.986 se estableció la reserva marina de Tabarca que ocupa una superficie rectangular de 1400 Ha y comprende aguas interiores, competencia de la Generalidad Valenciana, y aguas exteriores, cuya gestión compete a la Administración General del Estado.<br class="""">
<br class="""">
Medio Físico<br class="""">
El pequeño archipiélago de Tabarca se encuentra formado por una isla principal denominada Plana, de Santa Pola o Nueva Tabarca, de forma alargada (1.800 m de longitud por una anchura máxima de 400 m ) y orientación NO-SE, con un estrechamiento en su tercio oeste. Su relieve es plano, con un desnivel máximo de 15 m con respecto al nivel del mar. En la parte occidental alberga un pequeño pueblo amurallado, el de San Pedro y San Pablo. Completan dicho archipiélago, los islotes de La Cantera, de La Galera y de La Nao, junto a numerosos escollos (Negre, Roig, Cap del moro, Sabata o Naveta). Se halla situado a unas tres millas al Sur-Este del Cabo de Santa Pola y a unas 8 millas de la ciudad de Alicante, término municipal al que pertenece."
bubbles-dive---torrevieja	"Con más de 12 años haciendo las cosas bien, nos habéis convertido en una de las Escuelas con mayor reconocimiento a nivel nacional, y seguimos adelante ofreciendo nuevos alicientes y actividades para vosotros."
buceo-tarragona-rikysub	"Rikysub es una empresa especializada en la enseñanza del buceo, ubicada en Tarragona desde 1990.Esta escuela ha formado a más de 2.200 buceadores a lo largo de una trayectoria de 22 años.Realizamos todo tipo de salidas para gente titulada, desde costa, en embarcacion, para principiantes y buceadores mas tecnicos....ademas de realizar excusiones a los puntos mas apreciados de nuestra geografia. "
buceo-valencia	"Escuela de buceo en Valencia, con experiencia instituida en el año 1997, dinámica con más de 3.000 alumnos certificados en este periodo de tiempo, con enseñanza destinada en general a alumnos de la Comunidad Valenciana y con demanda de alumnos de otras comunidades. Única escuela dotada con 5* IDC PADI y acreditada para formar instructores PADI."
bujinkan-bushi-dojo	http://bushidojo.wordpress.com/about/
business-yachtclub-barcelona	"Bienvenidos a Business Yachtclub Barcelona, el primer club de vela con veleros J80 y J105 para navegar en Barcelona.

Hazte socio de nuestro club y podrás practicar la vela todo el año. 

Alquiler de veleros con o sin patrón, regatas, match race, actividades dirigidas, ofertas y promociones exclusivas a lo largo del año.


En Business Yachtclub Barcelona encontrarás soluciones para aprender a navegar y para disfrutar Barcelona desde el mar si estás de visita.

Para las empresas ofertas de eventos corporativos personalizados por cada exigencias.


Business Yachtclub Barcelona, el mundo de la vela está a tu alcance, que esperas para entrar ?"
c-a-carmona-paez	Triatlón en San Fernando.
c-d-gimnas-kyu	"dojo dedicado a la enseñanza de las artes marciales, mas concretamente aikido y karate de forma tradicional."
campo-de-futbol-7-de-ciudad-de-asis	Fútbol en Alacant.
campo-de-futbol-de-la-ciudad-deportiva	"Fútbol,Fútbol en Alacant."
campo-de-futbol-del-garbinet	"Fútbol,Fútbol en Alacant."
campo-de-futbol-florida-babel	"Fútbol,Fútbol en Alacant."
campo-de-futbol-la-albufereta	"Fútbol,Fútbol en Alacant."
campo-de-futbol-virgen-del-remedio	"Fútbol,Fútbol en Alacant."
campo-de-golf-melilla	Otro en Melilla.
campos-federativos-de-futbol	"Fútbol,Fútbol en Castellón de la Plana."
can-shiva-yoga-ibiza	"Welcome to Can Shiva, Center for Yoga and Ayurveda in San Antonio, Ibiza.

You will find various yoga classes for beginners, intermediate students as well as for those with a more advanced practice in our programme. There is also a wide range of classes on special topics, such as yoga for the back, yoga for children, yoga for eldery persons and meditation.

You can come for a trial class any time, just make sure you bring comfortable clothing!

Relaxing massages and treatment with choice ayurvedic oils await you in our ayurveda section .

Please send us an email or call if you have any queries. info@canshiva.com 

 
Hatha Yoga
kundalini yoga
yoga para embarazadas
gymnasia terapéutica (similar to Pilates)
danza oriental

"
capoeira-abada-gran-canaria	"Abada Capoeira Gran Canaria
Graduado Surfista
"
capoeira-ginga-brasil-madrid---cdo	La Asociación de Capoeira Ginga Brasil - Cordao de Ouro en Madrid tiene como objetivo la divulgación de la capoeira y la cultura afrobrasileña en España.
capoeira-madrid---centro	"Apúntate a una clase de prueba y 
infórmate sobre las condiciones y posibilidades de clase.
Hay otros horarios disponibles para empezar.

Saludos,

Caíto ""Energético""

        www.EnergéticoCapoeira.com"
capoeira-muzenza	"El profesor Neutarcio descubrió la capoeira a los 10 años con el profesor Edmilson en la cuidad de Crato (Ceará, Brasil).

A partir de 1994, con 18 años de edad, empezó a transmitir el arte de la capoeira en escuelas de Crato y ciudades vecinas (Nova Olinda, Jardim).

Además, se implicó en varios proyectos sociales de centros cívicos y ayuntamientos de la región, fomentando la educación de los niños y adolescentes.

En 2007, llegó a España para crear la Academia Muzenza de Barcelona y así difundir sus conocimientos y la filosofía del grupo."
caralebro-ayurveda	"Atalaya Casa rural en Sobradiel, Sesiones de Introdución al AYURVEDA, RUTAS NORDIC WALKING ANTIESTRES, MASAJE ABHYANGA, ALOJAMIENTO Y ACTIVIDADES EN LA NATURALEZA."
cb-art-chivo	"Baloncesto,Baloncesto en Oviedo."
cb-bahia-san-agustin	Baloncesto en Llucmajor.
cb-l-alfas-del-pi	Baloncesto en l'Alfàs del Pi.
cb-pumarin	"Baloncesto,Baloncesto en Gijón."
cbd-cinco-puntos	"Hace 10 años se creó la Asociación de Baile de Salón Cinco Puntos, que hoy en día ya es Club de Baile Deportivo, Federado.
Impartimos clases en Zaragoza y alrededores, en varios municipios y centros cívicos de la provincia de Zaragoza. También damos clase y animaciones en pubs y bares.
Nuestros alumnos, entre los 8 y 75 años, aprenden a bailar todos los ritmos del baile de salón y bailes caribeños (salsa, bachata y  merengue).
Para conocernos más visítanos en www.facebook.com/abscincopuntos"
cd-atletismo-diego-ruiz	"Atletismo,Correr,Jogging,Running en Burgos."
cd-basket-campoo	"Baloncesto,Baloncesto en Reinosa."
cd-cicloturista-la-vereita	"Somos un grupo de amigos unidos por la afición a la Bicicleta de Montaña en los Espacios Naturales de Andalucía, donde practicamos otros deportes como el senderísmo, atletismo, orientación, esquí, natación..."
cd-runnersworld-valencia	"Entrenamos todos los martes y jueves en el Viejo Cauce del Rio Turia, y quedamos de 19:25 a 19:45 en el Puente de Campanar a la derecha mirando al mar. Haga frio, calor, vientos huracanados, nieve, pedregue o tengamos lluvia extrema, se entrena.
 Y no hay excusas de ""Estoy lesionado. Me duele la cabeza. Estoy constipado. Voy cojo, si no te lo crees llevo muletas...""."
cd-san-ignacio	Voleibol en Oviedo.
cde-de-tenis-el-carraperal-grinon	"Tenis,Tenis en Griñón."
cde-eads-ce-grupo-de-montana	"Es un gran grupo de amigos al que nos une el placer de disfrutar de la montaña en todas sus vertientes, realizamos una marcha de carácter social todos los meses donde os invitamos a participar, todo ello lo podéis ver en nuestro blog"
cdelectronica---rato-aviles-atmo	"Atletismo,Correr,Jogging,Running en Avilés."
cderivas95	"El “CLUB DEPORTIVO RIVAS 95 FUTBOL SALA” se funda en el año 2008 en el municipio de Rivas-Vaciamadrid, por un grupo de amigos y padres, interesados en el fomento del deporte y de sus valores.

El club se inscribe en la Dirección General de Deportes de la Comunidad de Madrid, con fecha de 19 de noviembre de 2008.

Comenzamos nuestra actividad en competiciones federadas en la temporada 2009/2010 en las categorías de Alevín, Cadete, Juvenil Femenino y Juvenil Masculino de 2ª y Senior primera preferente. Con suerte diversa en cuanto a resultados.
 
La temporada 2010/2011, intentamos dar un salto de calidad, teniendo en cuenta que lo más importante es la consolidación económica y deportiva del club, si queremos llegar lejos, hay que ir despacio. En ésta línea, los equipos que formaremos serán: Alevín, Infantil, Cadete, Juvenil Femenino, Juvenil Masculino, Juvenil Nacional y un Nacional B que será la referencia y primer equipo del club esta temporada.
 
Esto ha sido posible gracias al trabajo realizado con otros clubes para llegar a acuerdos y poder contar con plazas y jugadores, a los que estamos agradecidos por su colaboración y apoyo a éste proyecto. Realmente contamos con dos equipos más, pero lo importante es la reorganización de nuestra estructura gracias a la experiencia adquirida en la temporada que ha finalizado.
 
La temporata 2011/2012, viene caracterizada por el acuerdo de filialidad con CARNICER TORREJÓN, lo que nos permite mirar a lo más arriba. Esta no fué una decisión fácil, a priori parecía que renunciabamos a parte de nuestra identidad, a nuestros comienzos, sin embargo, queremos y debemos ser un club que forje jugadores y que les dote de oportunidades, y ello pasaba por la filialidad, con lo bueno y con lo malo. En todo caso, a final de temporada, cuando sea la hora de hacer balance sabremos si la decisión que tomamos fue lo mejor para nuestros chicos y para el club. Ahora, lo que toca es trabajar y porner toda nuestra fuerza e interés en que el proyecto salga adelante.
 
Hemos potenciado la plantilla de nuestro Nacional, ahora 3ª División con lo mejor que hemos podido, hemos aportado jugadores al Juvenil Nacional de Carnicer, hemos formado dos juveniles de primer año, con el fin de que se esfuercen y luchen por mejorar y por ascender, para que en un futuro próximo la dirección deportiva de Carnicer se fije en ellos y sean parte importante de su proyecto. También hemos arrancado con un Senior Femenino, con nuestras jugadoras del juvenil y con seniors para también poder ascender y hacer un equipo que tenga proyección deportiva.
 
En definitiva, nuestro proyecto para la temporada 2011/2012 es una apuesta por la cantera, con entrenadores con compromiso y calidad, con la puesta en marcha de las Escuelas y con la intención de ser un club de futuro.
 
La sede del club está situada en el municipio de Rivas Vaciamadrid, siendo los miembros de sus equipos de dicha localidad y que cuenta ya, con una amplia tradición deportiva.

En la constitución del club deportivo ha primado el comportamiento y la educación a los resultados deportivos desde su creación, así como la educación complementaría a los niños en un marco deportivo, como así se refleja en el acta constitutiva del mismo. Seguiremos por este mismo camino y para la próxima temporada tendremos más equipos y más novedades."
ce-arenys-de-munt	"Som el Club Esportiu Arenys de Munt, de la població del Maresme, Arenys de Munt.
"
ce-de-lluita-suau-i-amable	"Enseñanza y práctica del Tai Chi Chuan de la escuela Yang, para cuidar la salud, como una gimnasia suave y como un sistema de meditación, mediante secuencias de Tai Chi, ejercicios complementarios de chikung y meditaciones de pie. También se desarrolla el aspecto de arte marcial interno a través de ejercicios como los Tui Shous, Da Lu, las aplicaciones de las formas de mano vacía y de armas (espada, sable, vara, lanza, bastón, flauta y abanico)

Miembros de la Plum Blossom International Federation

Una opción de salud siguiendo el Camino de las Artes Marciales"
ce-penedes	"Atletismo,Correr,Jogging,Running en Vilafranca del Penedès."
celacanto-escuela-buceo-altea	"Centro de buceo ubicado en Altea con mas de 20 años de experiencia en el sector.
Realizamos cursos de buceo de todas las especialidades.
Salidas de buceo diarias en Altea y Benidorm.
Ofertas especiales con alojamiento.
Cursos de buceo en Madrid y Altea."
centre-aeri-hidroclub	Paracaidismo en Vilanova i la Geltrú.
centre-catolic-lrhospitalet	Baloncesto en L'Hospitalet de Llobregat.
centre-de-budo-sant-jordi	"Aikido,Judo,Kendo en Barcelona."
centre-de-ioga-marina	"Som un Centre de Ioga a Premià de Mar, Vina a proba una classe gratuita i així ens coneixeràs 
El Ioga no és un mite antic enterrat en l’oblit. És el regal i l’herència més valuosa del present. És la necessitat d’avui i la cultura del demà.

El ioga és la veritable ciència de la vida, és per això que hauria d’estar incorporada a la vida diària. Treballa tots els aspectes de la persona: el físic, vital, mental, emocional, psíquic i espiritual.  ""Swami Satyananda Saraswati"""
centre-excursionista-de-banyoles	"El Centre Excursionista de Banyoles es va fundar oficialment l'any 1953. Anteriorment, però, ja s'havia mostrat a Banyoles l'interès per l'excursionisme."
centre-jing	"Somos una Escuela de Artes Marciales donde podrás practicar y aprender las siguientes disciplinas:
Kung-Fu, TaiChiChuan, Chikung, Defensa Personal...
¡Ven a probar una clase gratuita! "
centro-dan-tian	"En nuestra escuela puedes practicar y estudiar disciplinas saludables desde un punto de vista tradicional. Ofrecemos clases de Tai Chi Chuan estilo Yang, Yoga, y Chi Kung. También realizamos otras actividades; como KunG Fu Infantil o Autodefensa para mujeres, y seminarios específicos.
"
centro-de-buceo-alagua	"Centro de Buceo Alagua es una asociación tradicional orientada al entrenamiento profesional y de ocio. Nos alegramos por el éxito de nuestros equipos, pero también nos dedicamos a los grupos de aficionados que se encuentran simplemente para disfrutar del tiempo libre.<br class="""">
No hacemos diferencias entre nuestros socios. Quien lo desee puede convertirse en miembro de la asociación. Nuestros entrenadores se adaptan sin problemas a cada equipo, están cualificados y le asesorarán con gusto acerca de nuestra oferta deportiva.<br class="""">
Siempre nos alegramos de recibir nuevos miembros interesados en participar en los acontecimientos de la asociación, organizar actividades o excursiones y que se sientan bien en la comunidad."
centro-de-tecnicas-orientales-saada	"Escuela especializada en Danza del vientre Tribal y Técnicas de Salud, dentro de la cultura árabe, hindú y asiática.

Centro confortable y silencioso situado en pleno centro de Madrid. Ambientado con pura filosofía oriental, acogedor, de tenue luz y agradable aroma, basándose  en las técnicas del fenshui.       
Con este Centro pretendemos cubrir la necesidad social de un ejercicio sano y bienestar general,  tanto físico como emocional, lleno de calidad y seriedad a cargo de unos buenos profesionales. "
centro-deportivo-albelda	"Baloncesto,Spinning,Fútbol,Natación,Tenis de mesa en Albelda."
centro-deportivo-nivel-uno	"CENTRO DEPORTIVO FITNESS &amp; WELLNESSCARDIO-FITNESS-PILATES-AEROCARDIO-TONE&amp;PUMP-CIRCUIT TRAINING-CICLO INDOOR-STRETCHING-RELAJACIÓN-REHABILITACIÓN FUNCIONAL-TONIFICACIÓN-TAEKWONDO-KICK BOXING"
centro-excursionista-de-chelva	Esquí en Chelva.
ceu-rugby	"Equipo de Rugby de la Ciudad de Barcelona, fundado en 1960, con categorías Senior masculino, femenino, y escuela."
chikung-taichi	"La práctica se compone de la combinación de Chikung estático de salud taoísta (Zhan Zhuang), con Tai Chi Chuan del estilo Yang, Tui Shou (empuje de manos) y Tai Chi Jian (Tai Chi con espada). Permitiendo un correcto desarrollo de Chikung de canalización (órbitas microcósmica y macrocósmica), así como un correcto desarrollo en Tai Chi Chuan, sin romper los principios inherentes a las teorías de salud taoísta (medicina tradicional china y meridianos)."
